epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7854,3.14455,5.88371,1.6276,0,0,0,0,2.45192,4.53264,1.2218,0.00024,0.00024,0.00024
2,51.9753,1.86814,3.52172,1.05843,0.00549,0.96,0.01758,0.00564,1.4726,3.64779,0.89483,0.0004505,0.0004505,0.0004505
3,72.9184,1.58335,1.89526,1.00144,0.00448,0.96,0.4084,0.24271,1.61346,3.02062,0.99645,0.00060952,0.00060952,0.00060952
4,95.8897,1.46992,1.81117,0.97412,0.00466,0.96,0.14482,0.08872,1.52937,3.10233,0.9276,0.00071706,0.00071706,0.00071706
5,120.059,1.47529,1.73274,0.92731,0.00469,0.96,0.07565,0.04212,1.65801,3.15898,0.918,0.00077312,0.00077312,0.00077312
6,141.675,1.55534,1.78893,0.95803,0.0044,0.96,0.50704,0.29294,1.52805,2.89867,0.89554,0.0007777,0.0007777,0.0007777
7,163.774,1.33865,1.69354,0.89634,1,0.36604,0.8891,0.55406,1.32454,2.35203,0.88494,0.0007308,0.0007308,0.0007308
8,187.937,1.52615,1.56285,0.87761,1,0.84698,0.94428,0.64986,1.17273,1.74341,0.89194,0.000614,0.000614,0.000614
9,207.928,1.36648,1.63495,0.94148,1,0.84698,0.94428,0.64986,1.17273,1.74341,0.89194,0.000416,0.000416,0.000416
10,229.505,1.28521,1.45631,0.90175,0.98891,0.9,0.94646,0.67031,1.1258,1.44414,0.88296,0.000218,0.000218,0.000218
